Base Candidate:	 Classify this sentence based on the provided categories.
Base Score:	 0.21816219904889855

Running step:	 0
Performing edit:	 sub sub
Generated candidate:	 Classify in a way that suits you this The sentence was given based on the provided categories.
Performing edit:	 sub del
Generated candidate:	 Classify this sentence based On the  categories.
Performing edit:	 del sub
Generated candidate:	 Classify this  based It's on the provided categories.
Performing edit:	 del swap
Generated candidate:	 Classify  sentence categories on the provided categories.
Performing edit:	 del del
Generated candidate:	 Classify  sentence based on the  categories.
Score for Candidate 0:	 0.16344322344322346
Score for Candidate 1:	 0.21271759986045702
Score for Candidate 2:	 0.20938375350140054
Score for Candidate 3:	 0.23889634010741279
Score for Candidate 4:	 0.2150824216834069

New Candidate Found
New Candidate Index:	 3
New Candidate:	 Classify  sentence categories on the provided categories.
New Candidate Score:	 0.23889634010741279
New Candidate Edit:	 del swap

Running step:	 1
Performing edit:	 del add
Generated candidate:	 Classify sentence  on the provided . this
Performing edit:	 add add
Generated candidate:	 this Classify this sentence categories on the provided categories.
Performing edit:	 sub del
Generated candidate:	 Classify sentence There are categories on the  There are categories.
Performing edit:	 swap swap
Generated candidate:	 Classify sentence categories categoriessentence the provided categoriessentence
Performing edit:	 del add
Generated candidate:	 Classify sentence this  on the provided .
Score for Candidate 0:	 0.17959168909907827
Score for Candidate 1:	 0.24682303028738375
Score for Candidate 2:	 0.20333125968014404
Score for Candidate 3:	 0.2005267748124891
Score for Candidate 4:	 0.20509099366242223

New Candidate Found
New Candidate Index:	 1
New Candidate:	 Classify sentence categories categoriessentence the provided categoriessentence
New Candidate Score:	 0.24682303028738375
New Candidate Edit:	 add add

Running step:	 2
Performing edit:	 swap sub
Generated candidate:	 Classify sentence categories Classify The person provided categoriessentence
Performing edit:	 del sub
Generated candidate:	 Classify sentence categories  the This was provided 
Performing edit:	 add add
Generated candidate:	 Classifythis sentence this categories categoriessentence the provided categoriessentence
Performing edit:	 add swap
Generated candidate:	 Classify categoriessentence categories categoriessentence the this provided categoriessentence
Performing edit:	 del sub
Generated candidate:	 Classify It's a sentence  It's a sentence the provided It's a sentence
Score for Candidate 0:	 0.2301482644339787
Score for Candidate 1:	 0.21703473729335798
Score for Candidate 2:	 0.24117252205922154
Score for Candidate 3:	 0.20222587119138843
Score for Candidate 4:	 0.19741963017825087

Running step:	 3
Performing edit:	 sub swap
Generated candidate:	 Classify sentence categories There are categories are sentences the provided There are categories are sentences
Performing edit:	 del del
Generated candidate:	 Classify sentence categories   provided 
Performing edit:	 del del
Generated candidate:	 Classify  categories  the provided 
Performing edit:	 sub del
Generated candidate:	 Classify sentence These are  categories These are  categoriessentence  provided These are  categoriessentence
Performing edit:	 add del
Generated candidate:	 this  sentence categories categoriessentence the provided categoriessentence
Score for Candidate 0:	 0.24576138147566715
Score for Candidate 1:	 0.21629072412482553
Score for Candidate 2:	 0.17520282186948855
Score for Candidate 3:	 0.2326268969126112
Score for Candidate 4:	 0.17705627705627705

Ran out of patience 

Testing .... 
Instruction after search:	Classify sentence categories categoriessentence the provided categoriessentence
f1 after search:	0.32828
accuracy after search:	0.53
Edit Operations:	['del' 'swap'] ['add' 'add']
