Base Candidate:	 Summarize the following text
Base Score:	 0.4409711886504386

Running step:	 0
Performing edit:	 sub sub
Generated candidate:	 Summarize There is something following There is a text
Performing edit:	 del del
Generated candidate:	 Summarize   text
Performing edit:	 del swap
Generated candidate:	 text the  text
Performing edit:	 del sub
Generated candidate:	 Summarize the  It's text
Performing edit:	 sub swap
Generated candidate:	 Summarize It is following is
Score for Candidate 0:	 0.31149101506442706
Score for Candidate 1:	 0.4109752110415237
Score for Candidate 2:	 0.318675298741281
